beta,bin_left,bin_right,count,fraction
0.02,0.995961317173459,0.996958467644162,29,0.001721272554605888
0.02,0.996958467644162,0.9979556181148649,0,0.0
0.02,0.9979556181148649,0.9989527685855678,0,0.0
0.02,0.9989527685855678,0.9999499190562707,0,0.0
0.02,0.9999499190562707,1.0009470695269738,0,0.0
0.02,1.0009470695269738,1.0019442199976767,0,0.0
0.02,1.0019442199976767,1.0029413704683796,0,0.0
0.02,1.0029413704683796,1.0039385209390825,30,0.0017806267806267807
0.02,1.0039385209390825,1.0049356714097855,33,0.001958689458689459
0.02,1.0049356714097855,1.0059328218804884,21,0.0012464387464387464
0.02,1.0059328218804884,1.0069299723511913,14,0.0008309591642924976
0.02,1.0069299723511913,1.0079271228218942,17,0.0010090218423551758
0.02,1.0079271228218942,1.0089242732925972,4,0.00023741690408357076
0.02,1.0089242732925972,1.0099214237633,9,0.0005341880341880342
0.02,1.0099214237633,1.010918574234003,4,0.00023741690408357076
0.02,1.010918574234003,1.011915724704706,156,0.009259259259259259
0.02,1.011915724704706,1.0129128751754088,429,0.02546296296296296
0.02,1.0129128751754088,1.0139100256461118,223,0.01323599240265907
0.02,1.0139100256461118,1.0149071761168147,251,0.014897910731244064
0.02,1.0149071761168147,1.0159043265875176,447,0.026531339031339033
0.02,1.0159043265875176,1.0169014770582205,668,0.039648622981956316
0.02,1.0169014770582205,1.0178986275289235,471,0.027955840455840455
0.02,1.0178986275289235,1.0188957779996264,431,0.02558167141500475
0.02,1.0188957779996264,1.0198929284703293,5216,0.30959164292497626
0.05,0.9500172741055305,0.9525101502822878,4999,0.29671177587844255
0.05,0.9525101502822878,0.9550030264590451,549,0.03258547008547009
0.05,0.9550030264590451,0.9574959026358025,470,0.027896486229819564
0.05,0.9574959026358025,0.9599887788125598,676,0.040123456790123455
0.05,0.9599887788125598,0.9624816549893171,546,0.032407407407407406
0.05,0.9624816549893171,0.9649745311660745,158,0.009377967711301045
0.05,0.9649745311660745,0.9674674073428318,262,0.015550807217473884
0.05,0.9674674073428318,0.9699602835195891,318,0.018874643874643875
0.05,0.9699602835195891,0.9724531596963465,318,0.018874643874643875
0.05,0.9724531596963465,0.9749460358731038,7,0.0004154795821462488
0.05,0.9749460358731038,0.9774389120498611,1,5.935422602089269e-05
0.05,0.9774389120498611,0.9799317882266184,10,0.0005935422602089269
0.05,0.9799317882266184,0.9824246644033757,4,0.00023741690408357076
0.05,0.9824246644033757,0.984917540580133,17,0.0010090218423551758
0.05,0.984917540580133,0.9874104167568905,29,0.001721272554605888
0.05,0.9874104167568905,0.9899032929336478,31,0.0018399810066476734
0.05,0.9899032929336478,0.9923961691104051,29,0.001721272554605888
0.05,0.9923961691104051,0.9948890452871624,0,0.0
0.05,0.9948890452871624,0.9973819214639197,0,0.0
0.05,0.9973819214639197,0.999874797640677,0,0.0
0.05,0.999874797640677,1.0023676738174343,0,0.0
0.05,1.0023676738174343,1.0048605499941916,0,0.0
0.05,1.0048605499941916,1.0073534261709491,0,0.0
0.05,1.0073534261709491,1.0098463023477064,30,0.0017806267806267807
0.05,1.0098463023477064,1.0123391785244638,33,0.001958689458689459
0.05,1.0123391785244638,1.014832054701221,21,0.0012464387464387464
0.05,1.014832054701221,1.0173249308779784,14,0.0008309591642924976
0.05,1.0173249308779784,1.0198178070547357,17,0.0010090218423551758
0.05,1.0198178070547357,1.022310683231493,4,0.00023741690408357076
0.05,1.022310683231493,1.0248035594082503,9,0.0005341880341880342
0.05,1.0248035594082503,1.0272964355850076,4,0.00023741690408357076
0.05,1.0272964355850076,1.029789311761765,156,0.009259259259259259
0.05,1.029789311761765,1.0322821879385222,429,0.02546296296296296
0.05,1.0322821879385222,1.0347750641152795,223,0.01323599240265907
0.05,1.0347750641152795,1.037267940292037,251,0.014897910731244064
0.05,1.037267940292037,1.0397608164687944,447,0.026531339031339033
0.05,1.0397608164687944,1.0422536926455517,668,0.039648622981956316
0.05,1.0422536926455517,1.044746568822309,471,0.027955840455840455
0.05,1.044746568822309,1.0472394449990663,431,0.02558167141500475
0.05,1.0472394449990663,1.0497323211758236,5216,0.30959164292497626
