beta,timestep_ns,src,dst,baseline_path,da_path,path_changed,baseline_hop_count,da_hop_count,baseline_total_cost_m,da_modified_total_cost_m,baseline_path_da_modified_cost_m,da_path_baseline_cost_m,baseline_physical_rtt_ms,da_physical_rtt_ms
0.01,20000000000,447,399,447->130->131->132->133->120->107->94->81->68->55->42->29->16->17->18->19->399,447->130->131->132->133->120->107->94->81->68->55->42->29->16->17->18->19->399,False,17,17,40137624.25490013,39891394.73678309,39891394.73678309,40137624.25490013,267.76940635978326,267.76940635978326
0.01,20000000000,425,410,425->187->200->213->226->239->240->241->410,425->187->200->213->226->239->240->241->410,False,8,8,18675061.722605914,18623574.507474963,18623574.507474963,18675061.722605914,124.58660132541368,124.58660132541368
0.01,20000000000,410,425,410->241->240->239->226->213->200->187->425,410->241->240->239->226->213->200->187->425,False,8,8,18675061.72260591,18733496.250683796,18733496.250683796,18675061.72260591,124.58660132541365,124.58660132541365
0.01,20000000000,386,424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,False,13,13,29223697.059503578,29121984.945892885,29121984.945892885,29223697.059503578,194.95952135996413,194.95952135996413
0.01,20000000000,424,386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,False,13,13,29223697.059503585,29325959.5844338,29325959.5844338,29223697.059503585,194.95952135996419,194.95952135996419
0.01,20000000000,355,401,355->169->181->168->155->142->129->116->103->90->77->64->51->38->401,355->169->181->168->155->142->129->116->103->90->77->64->51->38->401,False,14,14,32135864.52890781,32153995.802871868,32153995.802871868,32135864.52890781,214.38741149991046,214.38741149991046
0.01,20000000000,401,355,401->38->51->64->77->90->103->116->129->142->155->168->181->169->355,401->38->51->64->77->90->103->116->129->142->155->168->181->169->355,False,14,14,32135864.528907813,32130972.225013625,32130972.225013625,32135864.528907813,214.38741149991048,214.38741149991048
0.01,20000000000,412,406,412->169->170->183->196->209->406,412->169->170->183->196->209->406,False,6,6,13020634.83801786,13011118.478990752,13011118.478990752,13020634.83801786,86.8643255729793,86.8643255729793
0.01,20000000000,406,412,406->209->196->183->170->169->412,406->209->196->183->170->169->412,False,6,6,13020634.838017862,13024746.832670238,13024746.832670238,13020634.838017862,86.86432557297931,86.86432557297931
0.01,20000000000,432,446,432->31->44->446,432->31->44->446,False,3,3,4686271.422872583,4673158.857288331,4673158.857288331,4686271.422872583,31.263437740468998,31.263437740468998
