timestep_ns,from_sat,to_sat,alpha
0,88,101,0.9218411510285374
0,101,88,-0.9788241557743387
0,89,90,0.9703278128444427
0,90,89,-0.9689246496748241
0,89,102,0.7116359603276641
0,102,89,-0.8125503506912868
0,78,90,-0.9685658066771499
0,90,78,0.9693449863129504
0,90,103,0.5996733399116816
0,103,90,-0.6574953321602023
0,91,92,0.9688216618637643
0,92,91,-0.9695539113046598
0,91,104,-0.791024236158974
0,104,91,0.8083459319076907
0,92,93,0.9695204062424225
0,93,92,-0.9703777994148114
0,92,105,-0.8056638839343012
0,105,92,0.8779464514958978
0,93,94,0.970440667185016
0,94,93,-0.9704742123619057
0,93,106,-0.8917355236746598
0,106,93,0.9638528557184378
0,94,95,0.970783215108521
0,95,94,-0.969757792467332
0,94,107,-0.9825998390466324
0,107,94,0.9827594569399186
0,95,96,0.9702565238406081
0,96,95,-0.9688480385449878
0,95,108,-0.9637435413708622
0,108,95,0.8919504883822157
0,96,97,0.9693249205928929
0,97,96,-0.9685427698256429
0,96,109,-0.8777996540799369
0,109,96,0.8058754712617064
0,97,98,0.9688118079821673
0,98,97,-0.9691139140235293
0,97,110,-0.8080905993966198
0,110,97,0.7911442633445362
0,98,99,0.9691736655460992
0,99,98,-0.9700931988101766
0,98,111,-0.7892272196158232
0,111,98,0.8385037684628974
0,99,100,0.9701170736972163
0,100,99,-0.9706501023563052
0,99,112,-0.8411403868752486
0,112,99,0.922725354749162
0,100,101,0.970835838822264
0,101,100,-0.9703104410318916
0,100,113,-0.9454923793532712
0,113,100,0.9883887520655544
0,101,102,0.9707076685625825
0,102,101,-0.9693701928847122
0,101,114,-0.9882559398674045
0,114,101,0.9457139891579327
0,102,103,0.9698370354912765
0,103,102,-0.9686340223547086
0,102,115,-0.9225844798712182
0,115,102,0.8413658526387466
0,91,103,-0.9687274453718877
0,103,91,0.9689600559762036
0,103,116,-0.8382957275189169
0,116,103,0.7894916678423923
0,104,105,0.9687712489561658
0,105,104,-0.9690876748762205
0,104,117,0.6120896031705932
0,117,104,-0.5919693397950431
0,105,106,0.9690921119800664
0,106,105,-0.9700226502304911
0,105,118,0.7258941698000912
0,118,105,-0.6390125150467052
0,106,107,0.9700069191878905
0,107,106,-0.9705406753125183
0,106,119,0.9064951045793399
0,119,106,-0.813839017832315
0,107,108,0.9707196372958882
0,108,107,-0.9701947190513738
0,107,120,0.9891197801693238
0,120,107,-0.9890325042787074
0,108,109,0.9706154657211803
0,109,108,-0.9692728909570648
0,108,121,0.8138646012833879
0,121,108,-0.9063594803817895
0,109,110,0.9697926113978931
0,110,109,-0.96858802192055
0,109,122,0.6390889338348759
0,122,109,-0.7257218429732475
0,110,111,0.9689743245082937
0,111,110,-0.9687178512975602
0,110,123,0.5922146758509705
0,123,110,-0.6118646731462916
0,111,112,0.9688677789837489
0,112,111,-0.9695999904125185
0,111,124,0.6575948784455096
0,124,111,-0.5996355824377861
0,112,113,0.9696132828124376
0,113,112,-0.9704696113485021
0,112,125,0.8127061217003253
0,125,112,-0.7115990653462163
0,113,114,0.9705572717915015
0,114,113,-0.9705909638547006
0,113,126,0.9789599115840245
0,126,113,-0.9218218510325329
0,114,115,0.9708902432302037
0,115,114,-0.9698712042675496
0,114,127,0.921838524304995
0,127,114,-0.9788223521082577
0,115,116,0.9703278128444419
0,116,115,-0.9689238580903975
0,115,128,0.7116359786172092
0,128,115,-0.8125511336385608
0,104,116,-0.9685642914347063
0,116,104,0.9693441930434116
0,116,129,0.5996632432016358
0,129,116,-0.6574901338058601
0,117,118,0.9688207121035005
0,118,117,-0.9695544762507589
0,117,130,-0.7910347332614919
0,130,117,0.808335785091999
0,118,119,0.9695209706529038
0,119,118,-0.9703779254716359
0,118,131,-0.8056599858666307
0,131,118,0.8779535318696909
0,119,120,0.9704407934003526
0,120,119,-0.9704742128332964
0,119,132,-0.8917347597358841
0,132,119,0.9638541551694111
0,120,121,0.9707832140726939
0,121,120,-0.969763017225038
0,120,133,-0.9825999730491848
0,133,120,0.9827595906661132
0,121,122,0.9702617206363823
0,122,121,-0.9688480349828278
0,121,134,-0.9637147080440621
0,134,121,0.891951922202327
0,122,123,0.9693248936918654
0,123,122,-0.9685265836597479
0,122,135,-0.8778010422841899
0,135,122,0.8058778371699854
0,123,124,0.9687957056608384
0,124,123,-0.9691139408949828
0,123,136,-0.808222781434984
0,136,123,0.7912783078701207
0,124,125,0.9691736522332284
0,125,124,-0.9700931855598142
0,124,137,-0.789229641038445
0,137,124,0.838389308696607
0,125,126,0.9701170731453899
0,126,125,-0.9706498690759229
0,125,138,-0.8411426381021345
0,138,125,0.9227263454769372
0,126,127,0.9708356126469493
0,127,126,-0.9703101828702131
0,126,139,-0.9455012693036924
0,139,126,0.9883888078031922
0,127,128,0.9707074145366592
0,128,127,-0.9693702638107031
0,127,140,-0.988256587143231
0,140,127,0.945714687947427
0,128,129,0.9698371053716259
